AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE
adyar,partial,1,other,nosewr,paved,RL,7,1080,1.0,1.0,3,10546405
chrompet,partial,0,house,elo,paved,RM,6,1292,2.0,1.0,4,9746100
kk nagar,family,1,other,allpub,gravel,RH,30,1883,3.0,2.0,5,11447860
velachery,family,0,other,elo,noaccess,RM,49,1748,2.0,1.0,4,9516880
karapakkam,normalsale,0,other,nosewr,paved,I,37,1621,2.0,2.0,4,7580125
kk nagar,family,1,house,nosewr,paved,RL,9,2061,3.0,2.0,5,11373980
velachery,adjland,0,commercial,nosewr,noaccess,RL,26,1521,2.0,1.0,4,12842120
chrompet,family,1,commercial,allpub,gravel,RH,23,839,1.0,1.0,3,11650250
chrompet,abnormal,0,house,nosewr,gravel,RH,5,1296,2.0,1.0,4,9576550
chrompet,normalsale,1,other,elo,noaccess,RL,14,1027,1.0,1.0,3,9265490
kk nagar,adjland,0,other,allpub,paved,RL,17,1921,3.0,2.0,5,11354960
adyar,normalsale,1,house,elo,gravel,I,37,855,1.0,1.0,3,7815055
velachery,partial,1,other,elo,noaccess,RL,46,1857,3.0,2.0,5,10188470
chrompet,normalsale,1,other,allpub,paved,RL,36,920,1.0,1.0,3,9211400
velachery,normalsale,0,commercial,allpub,noaccess,C,50,1781,2.0,1.0,4,12296550
anna nagar,partial,0,house,nosewr,noaccess,RH,44,1658,1.0,1.0,4,9615130
karapakkam,normalsale,1,commercial,elo,paved,RL,44,1611,2.0,2.0,4,12699000
kk nagar,abnormal,1,other,nosewr,gravel,RM,6,1339,2.0,1.0,4,11084700
karapakkam,family,1,other,nosewr,paved,RH,26,876,1.0,1.0,2,6763000
velachery,normalsale,0,commercial,nosewr,noaccess,RL,19,1880,3.0,2.0,5,15074080
karapakkam,normalsale,1,house,nosewr,noaccess,A,29,1227,1.0,1.0,3,4969250
chrompet,normalsale,0,other,elo,paved,RM,28,918,1.0,1.0,3,8745660
chrompet,partial,1,commercial,elo,paved,RL,24,750,1.0,1.0,2,10428000
anna nagar,family,0,house,nosewr,paved,RH,44,1631,1.0,1.0,4,10323980
karapakkam,family,0,house,nosewr,gravel,I,45,782,1.0,1.0,2,4842750
chrompet,adjland,1,other,nosewr,noaccess,RM,27,1258,2.0,1.0,4,11154910
t nagar,adjland,1,other,allpub,noaccess,RH,8,1536,1.0,1.0,4,12754890
karapakkam,normalsale,0,commercial,allpub,noaccess,RL,40,643,1.0,1.0,2,6501000
adyar,family,1,other,allpub,noaccess,RH,9,919,1.0,1.0,3,8802735
karapakkam,partial,0,other,nosewr,gravel,RM,19,1180,1.0,1.0,3,8366750
adyar,adjland,0,other,nosewr,noaccess,RM,7,1167,1.0,1.0,3,10474605
velachery,abnormal,1,other,allpub,paved,RH,34,1698,2.0,1.0,4,10509330
adyar,adjland,0,other,elo,gravel,C,28,1051,1.0,1.0,3,8090620
chrompet,adjland,0,other,nosewr,gravel,RH,5,881,1.0,1.0,3,8734920
karapakkam,adjland,1,house,elo,paved,I,39,1042,1.0,1.0,3,6369250
velachery,family,0,house,allpub,gravel,I,32,1954,3.0,2.0,5,9484440
adyar,adjland,0,house,nosewr,gravel,RM,40,919,1.0,1.0,3,9310300
karapakkam,adjland,0,commercial,nosewr,paved,C,17,1287,1.0,1.0,3,9260750
anna nagar,partial,1,house,nosewr,paved,RL,9,1793,1.0,1.0,4,13186280
kk nagar,partial,1,commercial,allpub,paved,RM,17,1814,3.0,2.0,5,16271740
velachery,abnormal,0,house,nosewr,noaccess,C,36,1889,3.0,2.0,5,7311370
velachery,partial,0,commercial,nosewr,noaccess,I,44,1642,2.0,1.0,4,11653680
velachery,adjland,0,commercial,nosewr,gravel,I,10,1910,3.0,2.0,5,15831550
chrompet,partial,0,house,nosewr,noaccess,RL,11,990,1.0,1.0,3,7302250
kk nagar,abnormal,1,other,nosewr,paved,RM,25,1842,3.0,2.0,5,11904740
karapakkam,partial,0,commercial,nosewr,gravel,RM,17,825,1.0,1.0,2,9305750
chrompet,normalsale,1,house,allpub,paved,RL,10,802,1.0,1.0,3,8657100
karapakkam,normalsale,0,other,allpub,gravel,C,12,858,1.0,1.0,2,5601750
kk nagar,normalsale,1,other,nosewr,paved,RH,22,1499,2.0,1.0,4,9789220
anna nagar,partial,1,commercial,allpub,noaccess,RM,39,1828,2.0,1.0,5,20581330
chrompet,family,1,house,nosewr,gravel,RH,24,717,1.0,1.0,2,7725200
karapakkam,family,0,other,allpub,gravel,RM,8,504,1.0,1.0,2,7019000
anna nagar,partial,1,house,elo,gravel,RL,24,1823,2.0,1.0,5,13410030
kk nagar,normalsale,1,house,allpub,paved,RL,30,1721,2.0,1.0,4,10199400
t nagar,abnormal,0,commercial,nosewr,paved,RL,45,1734,1.0,1.0,4,18918950
chrompet,partial,1,commercial,elo,gravel,RM,31,787,1.0,1.0,2,11703450
chrompet,adjland,0,house,elo,gravel,RL,24,1265,2.0,1.0,4,9735200
velachery,abnormal,0,house,allpub,paved,RM,33,1967,3.0,2.0,5,10826810
chrompet,adjland,1,commercial,nosewr,paved,RH,10,1008,1.0,1.0,3,12894500
chrompet,partial,1,commercial,elo,noaccess,RM,37,1120,1.0,1.0,3,13208750
anna nagar,adjland,1,commercial,allpub,noaccess,RH,42,1952,2.0,1.0,5,21026890
karapakkam,adjland,0,other,nosewr,gravel,A,47,1100,1.0,1.0,3,5438750
adyar,partial,1,house,allpub,gravel,RM,34,1098,1.0,1.0,3,10556410
kk nagar,abnormal,0,house,nosewr,gravel,RL,17,1470,2.0,1.0,4,9163340
chrompet,partial,1,house,elo,noaccess,RH,17,970,1.0,1.0,3,7463750
kk nagar,adjland,1,other,nosewr,gravel,RM,27,1432,2.0,1.0,4,11489580
karapakkam,adjland,0,commercial,allpub,paved,A,18,790,1.0,1.0,2,6102500
chrompet,adjland,0,commercial,allpub,paved,RL,5,1149,1.0,1.0,3,13734350
chrompet,abnormal,0,house,nosewr,paved,RL,26,762,1.0,1.0,2,7037100
chrompet,family,1,house,allpub,paved,RM,34,847,1.0,1.0,3,8931450
velachery,normalsale,1,house,allpub,gravel,C,27,1954,3.0,2.0,5,10151490
kk nagar,normalsale,1,other,nosewr,gravel,RM,11,2232,4.0,2.0,6,14074260
anna nagar,family,1,commercial,allpub,noaccess,RH,40,1587,1.0,1.0,4,17529450
t nagar,family,1,commercial,allpub,paved,RH,15,1891,2.0,1.0,5,21327550
kk nagar,family,0,other,allpub,gravel,RH,23,1916,3.0,2.0,5,10655980
velachery,partial,1,other,nosewr,paved,RL,21,1622,2.0,1.0,4,10581870
velachery,abnormal,0,commercial,allpub,paved,RH,7,1812,3.0,2.0,5,15074740
adyar,partial,1,other,nosewr,noaccess,RM,20,1010,1.0,1.0,3,9817500
t nagar,normalsale,1,commercial,allpub,noaccess,RH,16,1526,1.0,1.0,4,17673370
chrompet,normalsale,0,house,nosewr,gravel,RH,39,775,1.0,1.0,2,6603250
karapakkam,family,1,other,allpub,noaccess,A,14,1239,1.0,1.0,3,5947625
anna nagar,abnormal,0,house,nosewr,noaccess,RH,37,1538,1.0,1.0,4,9593040
anna nagar,normalsale,0,commercial,elo,paved,RM,36,1853,2.0,1.0,5,20525170
velachery,family,1,commercial,elo,noaccess,RH,29,1536,2.0,1.0,4,12946730
kk nagar,family,1,house,allpub,paved,RM,25,2241,4.0,2.0,6,12561300
velachery,partial,1,house,nosewr,paved,C,36,1709,2.0,1.0,4,8133770
chrompet,partial,0,commercial,nosewr,gravel,RM,8,1282,2.0,1.0,4,15195200
karapakkam,normalsale,0,house,nosewr,noaccess,C,40,1319,1.0,1.0,3,4746500
adyar,normalsale,1,house,nosewr,gravel,RM,33,994,1.0,1.0,3,10381895
chrompet,partial,0,other,allpub,paved,RL,32,782,1.0,1.0,2,7344340
kk nagar,adjland,0,commercial,nosewr,paved,RM,17,2235,4.0,2.0,6,18201340
adyar,adjland,1,house,nosewr,paved,RM,21,650,1.0,1.0,2,9080015
anna nagar,family,0,house,allpub,paved,RH,42,1677,1.0,1.0,4,10617090
adyar,family,0,other,nosewr,paved,A,35,684,1.0,1.0,2,4575925
chrompet,partial,1,house,allpub,noaccess,RM,9,1128,1.0,1.0,3,9805150
kk nagar,normalsale,1,commercial,nosewr,paved,RH,18,1360,2.0,1.0,4,12623360
chrompet,abnormal,1,other,nosewr,gravel,RL,23,895,1.0,1.0,3,9533400
chrompet,normalsale,1,other,elo,paved,RL,31,1227,2.0,1.0,4,10499240
t nagar,family,0,house,nosewr,paved,RH,7,1720,1.0,1.0,4,11440690
karapakkam,adjland,0,house,elo,paved,RL,13,1003,1.0,1.0,3,7064250
kk nagar,abnormal,0,commercial,nosewr,gravel,RL,20,2114,3.0,2.0,5,16929800
chrompet,adjland,1,house,nosewr,paved,RH,29,973,1.0,1.0,3,8457350
velachery,adjland,1,house,nosewr,paved,C,32,1655,2.0,1.0,4,8725740
adyar,normalsale,0,house,nosewr,gravel,C,38,910,1.0,1.0,3,6513570
adyar,normalsale,1,house,nosewr,noaccess,RM,35,840,1.0,1.0,3,8572425
kk nagar,family,0,commercial,nosewr,paved,RM,13,1835,3.0,2.0,5,15493260
chrompet,adjland,0,other,allpub,gravel,RL,13,1001,1.0,1.0,3,9724320
anna nagar,abnormal,1,commercial,allpub,paved,RM,10,1646,1.0,1.0,4,20519100
chrompet,adjland,0,other,elo,gravel,RL,27,907,1.0,1.0,3,8947040
adyar,partial,1,other,elo,paved,RL,9,809,1.0,1.0,3,9043635
chrompet,normalsale,0,commercial,allpub,gravel,RL,26,1278,2.0,1.0,4,14597300
chrompet,normalsale,0,other,nosewr,gravel,RL,19,1051,1.0,1.0,3,9310120
adyar,normalsale,0,other,nosewr,noaccess,I,12,1054,1.0,1.0,3,7740080
karapakkam,adjland,1,commercial,allpub,paved,C,11,971,1.0,1.0,3,8878250
kk nagar,normalsale,0,commercial,allpub,gravel,RM,29,1956,3.0,2.0,5,16677180
anna nagar,adjland,1,other,nosewr,noaccess,RL,40,1921,2.0,1.0,5,14301080
karapakkam,abnormal,1,other,nosewr,gravel,A,47,947,1.0,1.0,3,5523875
velachery,normalsale,1,other,allpub,noaccess,C,40,1514,2.0,1.0,4,7932350
karapakkam,abnormal,0,commercial,elo,noaccess,RH,41,1125,1.0,1.0,3,8072750
karapakkam,adjland,1,house,allpub,noaccess,I,43,1394,2.0,2.0,4,6962250
karapakkam,family,0,commercial,allpub,paved,RM,20,1609,2.0,2.0,4,12977000
t nagar,partial,0,house,elo,gravel,RL,7,1916,2.0,1.0,5,13174940
chrompet,normalsale,0,house,nosewr,noaccess,RL,8,1015,1.0,1.0,3,7742000
chrompet,partial,0,other,nosewr,paved,RH,30,835,1.0,1.0,3,6996450
anna nagar,normalsale,0,house,allpub,noaccess,RM,36,1617,1.0,1.0,4,11367820
t nagar,normalsale,0,house,nosewr,gravel,RM,19,1901,2.0,1.0,5,14001530
anna nagar,partial,1,commercial,elo,paved,RM,39,1548,1.0,1.0,4,18598580
anna nagar,family,1,house,nosewr,noaccess,RL,33,1660,1.0,1.0,4,11618510
karapakkam,adjland,1,other,elo,gravel,C,16,890,1.0,1.0,3,6715750
chrompet,family,1,commercial,allpub,paved,RH,29,956,1.0,1.0,3,11844950
velachery,adjland,1,house,allpub,gravel,RL,47,1841,3.0,2.0,5,11492190
chrompet,family,0,commercial,nosewr,noaccess,RM,7,1280,2.0,1.0,4,14153850
anna nagar,family,1,other,nosewr,noaccess,RM,20,1636,1.0,1.0,4,13483830
kk nagar,normalsale,1,other,nosewr,paved,RH,9,2204,3.0,2.0,5,12257060
karapakkam,normalsale,1,other,allpub,noaccess,A,11,1203,1.0,1.0,3,6016875
chrompet,adjland,0,house,elo,paved,RH,24,1122,1.0,1.0,3,8015800
anna nagar,partial,0,house,elo,gravel,RL,31,1574,1.0,1.0,4,11003670
kk nagar,normalsale,0,house,allpub,gravel,RM,16,1374,2.0,1.0,4,9741520
velachery,normalsale,1,commercial,elo,paved,C,36,1746,2.0,1.0,4,13626420
karapakkam,family,1,house,elo,gravel,I,30,1370,2.0,2.0,4,7633500
karapakkam,abnormal,0,house,nosewr,gravel,C,48,1362,2.0,2.0,4,5878000
anna nagar,normalsale,0,commercial,nosewr,gravel,RH,17,1897,2.0,1.0,5,20738440
chrompet,normalsale,0,house,nosewr,paved,RL,35,1020,1.0,1.0,3,8000250
chrompet,adjland,1,house,allpub,noaccess,RM,35,897,1.0,1.0,3,8897050
adyar,family,0,commercial,allpub,gravel,I,13,1023,1.0,1.0,3,12114895
karapakkam,partial,1,other,nosewr,paved,RM,39,1344,2.0,2.0,4,9341250
anna nagar,adjland,1,commercial,nosewr,gravel,RL,31,1689,1.0,1.0,4,20514620
velachery,adjland,0,commercial,allpub,noaccess,RM,53,1764,2.0,1.0,4,14687760
kk nagar,normalsale,1,house,allpub,paved,RL,5,1820,3.0,2.0,5,11095100
chrompet,normalsale,1,house,allpub,gravel,RM,4,987,1.0,1.0,3,10646600
t nagar,partial,1,house,nosewr,noaccess,RM,8,1688,1.0,1.0,4,12872810
anna nagar,adjland,0,house,allpub,noaccess,RH,20,1908,2.0,1.0,5,12114050
chrompet,adjland,1,house,nosewr,paved,RL,37,1078,1.0,1.0,3,9348350
karapakkam,abnormal,1,house,elo,paved,RM,44,1637,2.0,2.0,4,9407500
adyar,abnormal,1,house,nosewr,paved,RH,21,1019,1.0,1.0,3,8963715
chrompet,partial,1,commercial,elo,noaccess,RL,30,1198,1.0,1.0,3,13163050
chrompet,normalsale,1,commercial,nosewr,gravel,RH,26,1002,1.0,1.0,3,12654700
karapakkam,family,0,commercial,elo,gravel,I,38,1088,1.0,1.0,3,8482500
anna nagar,normalsale,1,commercial,allpub,gravel,RM,40,1703,1.0,1.0,4,20989850
chrompet,abnormal,1,house,nosewr,paved,RH,16,946,1.0,1.0,3,8275800
velachery,partial,0,commercial,elo,paved,A,40,1983,3.0,2.0,5,13291100
karapakkam,abnormal,0,commercial,nosewr,paved,RM,47,1112,1.0,1.0,3,9928250
adyar,family,1,house,nosewr,paved,RH,15,700,1.0,1.0,2,7609525
anna nagar,normalsale,1,other,allpub,noaccess,RL,7,1956,2.0,1.0,5,15178120
kk nagar,adjland,0,other,nosewr,paved,RL,27,1666,2.0,1.0,4,10105060
velachery,partial,0,house,allpub,paved,RM,48,1959,3.0,2.0,5,10225280
chrompet,partial,1,other,nosewr,noaccess,RL,15,1276,2.0,1.0,4,10309370
chrompet,partial,1,house,elo,paved,RH,16,1079,1.0,1.0,3,8463200
kk nagar,partial,1,other,allpub,gravel,RH,26,2357,4.0,2.0,6,12871060
anna nagar,family,0,other,nosewr,gravel,RL,19,1988,2.0,1.0,5,14774770
karapakkam,partial,1,other,allpub,paved,RH,23,1257,1.0,1.0,3,8172125
velachery,adjland,0,commercial,elo,paved,RH,29,1827,3.0,2.0,5,14818680
t nagar,normalsale,1,commercial,nosewr,paved,RM,15,1661,1.0,1.0,4,20450950
karapakkam,family,0,commercial,elo,paved,RM,28,939,1.0,1.0,3,9149000
velachery,adjland,1,commercial,nosewr,noaccess,A,7,1607,2.0,1.0,4,12499040
kk nagar,adjland,0,other,allpub,paved,RH,30,1829,3.0,2.0,5,10272980
chrompet,family,0,house,nosewr,gravel,RM,12,806,1.0,1.0,3,8636400
chrompet,adjland,0,house,allpub,paved,RL,26,784,1.0,1.0,2,7499900
velachery,partial,1,commercial,allpub,gravel,A,18,1540,2.0,1.0,4,12647660
anna nagar,adjland,0,commercial,nosewr,paved,RM,14,1794,1.0,1.0,4,20838230
kk nagar,partial,0,house,allpub,paved,RH,6,1875,3.0,2.0,5,9329120
kk nagar,partial,0,house,nosewr,gravel,RL,8,1494,2.0,1.0,4,9120360
t nagar,family,1,commercial,nosewr,paved,RH,28,1921,2.0,1.0,5,21050860
adyar,family,0,house,nosewr,gravel,I,9,603,1.0,1.0,2,6185335
kk nagar,partial,0,other,allpub,paved,RH,27,1479,2.0,1.0,4,8400920
anna nagar,partial,0,house,nosewr,gravel,RM,32,1574,1.0,1.0,4,11855940
chrompet,abnormal,1,other,elo,paved,RM,18,730,1.0,1.0,2,8972600
kk nagar,normalsale,0,house,nosewr,gravel,RM,30,2450,4.0,2.0,6,12506600
kk nagar,abnormal,0,other,nosewr,gravel,RM,19,1379,2.0,1.0,4,10209760
t nagar,abnormal,0,other,allpub,paved,RM,45,1621,1.0,1.0,4,12899530
karapakkam,partial,0,other,nosewr,noaccess,A,26,617,1.0,1.0,2,2476375
karapakkam,family,1,house,nosewr,gravel,I,16,508,1.0,1.0,2,5679000
karapakkam,abnormal,1,house,elo,noaccess,RL,32,1485,2.0,2.0,4,8020500
karapakkam,normalsale,0,commercial,nosewr,noaccess,RM,7,804,1.0,1.0,2,8396250
chrompet,partial,0,house,elo,noaccess,RL,8,917,1.0,1.0,3,7110600
anna nagar,adjland,0,other,nosewr,gravel,RM,37,1729,1.0,1.0,4,14158860
chrompet,normalsale,1,commercial,nosewr,gravel,RM,29,1102,1.0,1.0,3,14510950
velachery,adjland,1,commercial,nosewr,paved,RL,31,1826,3.0,2.0,5,16595470
velachery,normalsale,1,commercial,nosewr,gravel,RH,51,1864,3.0,2.0,5,15913570
velachery,partial,0,other,allpub,paved,RM,48,1776,2.0,1.0,4,10423510
chrompet,abnormal,0,commercial,elo,noaccess,RM,8,1091,1.0,1.0,3,12690600
adyar,family,1,commercial,nosewr,paved,RH,11,712,1.0,1.0,2,10606765
chrompet,family,1,commercial,nosewr,gravel,RM,17,795,1.0,1.0,2,12313350
chrompet,adjland,1,commercial,nosewr,paved,RM,22,922,1.0,1.0,3,13289900
karapakkam,partial,1,house,nosewr,paved,RH,10,1473,2.0,2.0,4,8352000
karapakkam,normalsale,1,commercial,elo,noaccess,C,9,1699,2.0,2.0,4,11423750
chrompet,adjland,0,other,elo,gravel,RM,19,1026,1.0,1.0,3,10120070
anna nagar,abnormal,0,other,nosewr,noaccess,RH,33,1570,1.0,1.0,4,10738110
kk nagar,family,0,house,allpub,gravel,RH,22,1479,2.0,1.0,4,8495640
kk nagar,normalsale,0,other,nosewr,gravel,RH,22,2380,4.0,2.0,6,12341040
chrompet,partial,0,house,allpub,gravel,RH,39,704,1.0,1.0,2,6248450
kk nagar,normalsale,1,house,nosewr,paved,RH,25,1325,1.0,1.0,3,8477500
velachery,family,0,commercial,allpub,paved,RH,55,1558,2.0,1.0,4,12564350
chrompet,partial,1,other,allpub,noaccess,RH,5,1133,1.0,1.0,3,9304960
kk nagar,adjland,0,house,allpub,gravel,RL,21,1866,3.0,2.0,5,10822220
adyar,normalsale,1,other,elo,paved,RH,24,936,1.0,1.0,3,9038260
velachery,normalsale,0,commercial,allpub,noaccess,A,50,1657,2.0,1.0,4,10849950
chrompet,family,0,other,allpub,noaccess,RM,12,904,1.0,1.0,3,8452080
chrompet,adjland,1,commercial,elo,gravel,RM,30,924,1.0,1.0,3,13485100
kk nagar,adjland,1,other,nosewr,paved,RH,16,2031,3.0,2.0,5,11878140
velachery,family,1,house,elo,gravel,RH,16,1945,3.0,2.0,5,10961920
chrompet,family,0,house,nosewr,gravel,RM,39,1297,2.0,1.0,4,10088450
kk nagar,abnormal,1,commercial,allpub,paved,RL,29,2179,3.0,2.0,5,17858980
chrompet,family,1,house,elo,gravel,RL,28,996,1.0,1.0,3,9135400
chrompet,family,0,other,nosewr,paved,RM,39,969,1.0,1.0,3,8646380
velachery,adjland,0,other,nosewr,gravel,C,23,1506,2.0,1.0,4,8576110
chrompet,partial,0,house,allpub,gravel,RH,19,1095,1.0,1.0,3,8367250
kk nagar,abnormal,1,other,allpub,paved,RL,19,1329,1.0,1.0,3,9840760
karapakkam,partial,1,other,nosewr,gravel,RH,5,1130,1.0,1.0,3,8461500
karapakkam,normalsale,0,commercial,allpub,paved,RL,35,1299,1.0,1.0,3,10651250
karapakkam,adjland,0,house,allpub,noaccess,C,38,514,1.0,1.0,2,3093500
kk nagar,adjland,0,house,allpub,gravel,RL,5,1738,2.0,1.0,4,10646500
t nagar,family,0,house,nosewr,gravel,RH,20,1782,1.0,1.0,4,12105050
karapakkam,abnormal,1,house,nosewr,noaccess,RH,46,749,1.0,1.0,2,5325000
chrompet,partial,1,house,nosewr,noaccess,RL,24,1267,2.0,1.0,4,9396600
karapakkam,adjland,0,commercial,nosewr,gravel,I,35,694,1.0,1.0,2,6936250
adyar,normalsale,1,other,elo,paved,RL,29,1175,1.0,1.0,3,10732635
anna nagar,adjland,0,commercial,nosewr,paved,RL,42,1846,2.0,1.0,5,20244990
kk nagar,family,1,commercial,nosewr,paved,RH,7,1428,2.0,1.0,4,12964940
adyar,family,1,other,allpub,paved,I,29,824,1.0,1.0,3,7881135
velachery,family,1,commercial,nosewr,gravel,C,38,1637,2.0,1.0,4,13460460
kk nagar,adjland,1,other,allpub,gravel,RL,12,2189,3.0,2.0,5,13791820
adyar,partial,1,house,allpub,noaccess,RM,34,1128,1.0,1.0,3,9662810
karapakkam,normalsale,0,house,nosewr,paved,RL,33,1213,1.0,1.0,3,6918250
velachery,abnormal,1,commercial,nosewr,gravel,C,35,1984,3.0,2.0,5,15679400
adyar,adjland,1,commercial,elo,paved,A,22,680,1.0,1.0,2,8588630
velachery,partial,0,house,elo,paved,I,47,1508,2.0,1.0,4,6890790
anna nagar,family,0,commercial,elo,paved,RL,42,2000,2.0,1.0,5,20926890
anna nagar,family,1,commercial,allpub,gravel,RM,13,1538,1.0,1.0,4,19964360
t nagar,adjland,1,house,nosewr,noaccess,RL,36,1723,1.0,1.0,4,12565070
chrompet,family,1,other,elo,paved,RM,33,1161,1.0,1.0,3,10586920
velachery,partial,1,other,allpub,gravel,A,28,1676,2.0,1.0,4,9089160
t nagar,family,0,house,nosewr,paved,RH,17,1749,1.0,1.0,4,11351890
kk nagar,partial,1,house,nosewr,gravel,RM,18,2199,3.0,2.0,5,12761560
chrompet,family,0,house,elo,gravel,RM,40,1101,1.0,1.0,3,8982400
adyar,partial,1,other,nosewr,paved,RH,8,1240,2.0,2.0,4,10636820
adyar,family,0,other,nosewr,gravel,A,38,1266,2.0,2.0,4,8122870
chrompet,abnormal,1,other,nosewr,paved,RH,9,1021,1.0,1.0,3,9315520
velachery,normalsale,1,house,nosewr,paved,A,36,1713,2.0,1.0,4,7897470
velachery,partial,0,house,allpub,noaccess,A,36,1563,2.0,1.0,4,5613270
chrompet,family,0,commercial,nosewr,gravel,RM,15,889,1.0,1.0,3,12146250
velachery,adjland,1,other,nosewr,gravel,C,27,1925,3.0,2.0,5,11055190
kk nagar,adjland,0,house,nosewr,gravel,RL,23,1791,3.0,2.0,5,10434260
chrompet,normalsale,1,house,nosewr,paved,RM,23,910,1.0,1.0,3,9186250
kk nagar,normalsale,0,house,nosewr,gravel,RH,12,2450,4.0,2.0,6,11638240
kk nagar,family,1,other,allpub,paved,RH,27,1763,2.0,1.0,4,10388400
chrompet,abnormal,0,commercial,allpub,paved,RH,38,1170,1.0,1.0,3,12448500
adyar,partial,1,house,nosewr,gravel,RH,20,1294,2.0,2.0,4,10383300
kk nagar,partial,1,commercial,nosewr,paved,RM,5,1386,2.0,1.0,4,13800700
karapakkam,adjland,1,house,elo,noaccess,C,35,1506,2.0,2.0,4,6450250
anna nagar,abnormal,0,commercial,nosewr,gravel,RM,43,1830,2.0,1.0,5,20787310
chrompet,abnormal,1,house,elo,noaccess,RH,28,744,1.0,1.0,2,6481200
chrompet,partial,1,house,nosewr,noaccess,RL,4,1298,2.0,1.0,4,9719400
anna nagar,abnormal,0,house,elo,noaccess,RH,30,1615,1.0,1.0,4,9845950
kk nagar,family,0,house,nosewr,paved,RL,19,1964,3.0,2.0,5,10084580
chrompet,normalsale,0,house,allpub,noaccess,RL,10,812,1.0,1.0,3,7226100
adyar,adjland,1,commercial,nosewr,paved,C,11,1270,2.0,2.0,4,14569565
karapakkam,normalsale,0,house,nosewr,noaccess,A,35,1045,1.0,1.0,3,3574750
chrompet,abnormal,0,house,nosewr,noaccess,RM,12,1093,1.0,1.0,3,8750400
chrompet,family,0,other,nosewr,noaccess,RH,14,934,1.0,1.0,3,7151680
velachery,family,0,house,nosewr,noaccess,RM,42,1617,2.0,1.0,4,8528890
velachery,normalsale,0,house,nosewr,noaccess,I,29,1994,3.0,2.0,5,8376880
velachery,adjland,1,house,nosewr,gravel,RM,29,1759,2.0,1.0,4,11978830
kk nagar,abnormal,1,other,nosewr,gravel,RM,11,1968,3.0,2.0,5,13053180
karapakkam,family,0,other,nosewr,noaccess,I,32,785,1.0,1.0,2,4146875
velachery,abnormal,0,other,nosewr,paved,C,17,1956,3.0,2.0,5,9566290
karapakkam,family,0,other,nosewr,gravel,C,5,1042,1.0,1.0,3,5998500
anna nagar,family,0,other,nosewr,noaccess,RL,26,1566,1.0,1.0,4,11470100
kk nagar,family,0,commercial,allpub,gravel,RH,28,1380,2.0,1.0,4,12076560
karapakkam,abnormal,1,house,allpub,gravel,I,50,1047,1.0,1.0,3,6794000
chrompet,family,0,house,nosewr,paved,RL,11,975,1.0,1.0,3,8074850
chrompet,normalsale,0,house,nosewr,noaccess,RM,17,1036,1.0,1.0,3,8313550
anna nagar,partial,0,other,nosewr,paved,RH,36,1960,2.0,1.0,5,12976220
kk nagar,normalsale,0,house,nosewr,paved,RL,5,2438,4.0,2.0,6,11871500
t nagar,normalsale,0,other,nosewr,noaccess,RH,24,1752,1.0,1.0,4,11987190
chrompet,abnormal,0,other,elo,paved,RH,26,1272,2.0,1.0,4,9065140
adyar,adjland,0,house,nosewr,gravel,RM,23,784,1.0,1.0,2,9044045
kk nagar,partial,0,other,nosewr,gravel,RL,28,2461,4.0,2.0,6,12712980
chrompet,partial,0,commercial,allpub,paved,RM,28,911,1.0,1.0,3,11507600
kk nagar,normalsale,1,commercial,nosewr,gravel,RM,16,2330,4.0,2.0,6,19768320
velachery,adjland,0,house,elo,noaccess,RL,44,1673,2.0,1.0,4,8483250
chrompet,adjland,0,commercial,allpub,noaccess,RM,7,1171,1.0,1.0,3,14035050
velachery,abnormal,0,house,nosewr,gravel,C,6,1966,3.0,2.0,5,9343170
karapakkam,family,1,commercial,allpub,gravel,A,47,850,1.0,1.0,2,7039250
anna nagar,normalsale,0,house,nosewr,gravel,RH,24,1622,1.0,1.0,4,11308830
velachery,adjland,0,house,allpub,gravel,RM,34,1938,3.0,2.0,5,11554330
anna nagar,family,1,house,nosewr,paved,RL,24,1867,2.0,1.0,5,13507780
adyar,adjland,1,other,nosewr,noaccess,A,16,791,1.0,1.0,2,6387040
anna nagar,family,0,commercial,nosewr,noaccess,RH,22,1958,2.0,1.0,5,19801690
anna nagar,abnormal,0,other,nosewr,gravel,RL,38,1601,1.0,1.0,4,12646540
karapakkam,adjland,1,commercial,nosewr,gravel,RM,35,1617,2.0,2.0,4,14486250
chrompet,normalsale,0,commercial,nosewr,paved,RL,37,1015,1.0,1.0,3,11677750
t nagar,partial,1,house,elo,gravel,RL,29,1572,1.0,1.0,4,12274630
t nagar,family,0,other,allpub,paved,RL,32,1924,2.0,1.0,5,13780460
t nagar,adjland,0,other,elo,paved,RM,16,1848,2.0,1.0,5,14772160
chrompet,partial,1,house,nosewr,gravel,RH,5,1238,2.0,1.0,4,10064150
t nagar,normalsale,1,house,nosewr,noaccess,RM,26,1556,1.0,1.0,4,12215170
anna nagar,normalsale,1,commercial,nosewr,noaccess,RL,13,1543,1.0,1.0,4,18080410
anna nagar,abnormal,0,commercial,nosewr,paved,RL,26,1534,1.0,1.0,4,17311570
kk nagar,partial,0,house,nosewr,paved,RL,11,1635,2.0,1.0,4,8908220
kk nagar,family,1,other,nosewr,gravel,RL,11,1450,2.0,1.0,4,10613220
