AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE
velachery,abnormal,1,house,nosewr,noaccess,I,45,1712,182,2.0,1.0,4,8137800
kk nagar,partial,1,other,nosewr,gravel,RL,26,1847,14,3.0,2.0,5,11691860
karapakkam,family,0,house,allpub,noaccess,I,5,641,121,1.0,1.0,2,4256250
chrompet,adjland,1,house,allpub,gravel,RH,22,777,27,1.0,1.0,2,8570300
anna nagar,family,1,house,nosewr,noaccess,RH,30,1861,1,2.0,1.0,5,12006850
karapakkam,partial,1,house,nosewr,paved,C,33,692,13,1.0,1.0,2,4485750
velachery,partial,0,commercial,allpub,noaccess,RM,33,1638,133,2.0,1.0,4,13713910
chrompet,family,0,other,nosewr,noaccess,RL,19,1196,137,1.0,1.0,3,8774370
karapakkam,adjland,0,commercial,nosewr,noaccess,RM,28,1013,164,1.0,1.0,3,9511000
kk nagar,family,1,other,nosewr,gravel,RL,9,1470,152,2.0,1.0,4,10708580
chrompet,normalsale,0,house,allpub,paved,RM,15,1097,110,1.0,1.0,3,9349850
velachery,abnormal,1,commercial,nosewr,noaccess,RM,30,1866,145,3.0,2.0,5,16367000
chrompet,family,0,commercial,nosewr,paved,RH,40,1138,70,1.0,1.0,3,11770400
karapakkam,family,0,commercial,elo,paved,RM,28,939,35,1.0,1.0,3,9149000
t nagar,abnormal,0,house,elo,paved,RH,7,1532,41,1.0,1.0,4,10802190
t nagar,adjland,1,commercial,elo,noaccess,RL,23,1770,149,1.0,1.0,4,20212910
karapakkam,adjland,1,house,elo,gravel,I,31,849,40,1.0,1.0,2,6457750
adyar,family,1,house,elo,gravel,RM,39,1299,51,2.0,2.0,4,11409485
karapakkam,abnormal,0,house,nosewr,noaccess,A,7,656,112,1.0,1.0,2,3001250
chrompet,adjland,1,house,elo,gravel,RM,23,860,34,1.0,1.0,3,9766450
karapakkam,abnormal,0,other,nosewr,paved,I,29,693,38,1.0,1.0,2,4680125
t nagar,adjland,0,commercial,allpub,paved,RM,31,1914,76,2.0,1.0,5,21937620
velachery,abnormal,0,other,elo,paved,A,24,1904,89,3.0,2.0,5,8504780
adyar,family,1,house,nosewr,noaccess,C,5,1096,103,1.0,1.0,3,7537975
karapakkam,family,1,other,allpub,paved,RH,38,1226,138,1.0,1.0,3,7853250
karapakkam,family,1,commercial,elo,paved,RH,24,806,153,1.0,1.0,2,8159000
adyar,normalsale,0,commercial,elo,noaccess,RL,35,611,117,1.0,1.0,2,8250025
chrompet,abnormal,1,other,allpub,paved,RM,4,827,27,1.0,1.0,3,9878990
chrompet,normalsale,1,commercial,nosewr,gravel,RM,39,703,145,1.0,1.0,2,11321050
karapakkam,normalsale,0,commercial,elo,paved,RH,26,745,81,1.0,1.0,2,6988500
t nagar,normalsale,1,commercial,allpub,paved,RL,38,1931,42,2.0,1.0,5,21960910
velachery,abnormal,1,commercial,allpub,gravel,A,23,1871,2,3.0,2.0,5,14852210
velachery,normalsale,1,commercial,allpub,gravel,A,25,1938,70,3.0,2.0,5,15317750
velachery,abnormal,0,house,nosewr,gravel,C,6,1966,60,3.0,2.0,5,9343170
velachery,adjland,1,house,nosewr,gravel,RH,18,1784,11,2.0,1.0,4,10893960
karapakkam,family,0,house,nosewr,paved,I,8,1332,120,1.0,1.0,3,6463000
karapakkam,normalsale,1,commercial,nosewr,noaccess,A,10,896,107,1.0,1.0,3,6765500
kk nagar,abnormal,0,house,allpub,gravel,RL,25,2175,72,3.0,2.0,5,11346500
kk nagar,adjland,1,house,nosewr,gravel,RM,24,1905,0,3.0,2.0,5,12371480
adyar,adjland,0,house,nosewr,gravel,RH,36,1170,120,1.0,1.0,3,9134740
karapakkam,adjland,1,other,nosewr,noaccess,RM,22,1294,81,1.0,1.0,3,9160750
adyar,partial,1,house,allpub,gravel,A,19,907,31,1.0,1.0,3,7150185
karapakkam,normalsale,1,other,nosewr,noaccess,RL,28,541,15,1.0,1.0,2,5995375
karapakkam,adjland,0,other,nosewr,paved,RM,23,510,39,1.0,1.0,2,6249500
chrompet,family,1,house,nosewr,gravel,RM,36,1119,8,1.0,1.0,3,10386800
karapakkam,abnormal,0,commercial,nosewr,gravel,A,31,1566,79,2.0,2.0,4,10010000
velachery,normalsale,0,house,nosewr,paved,RH,12,1971,152,3.0,2.0,5,9838490
t nagar,family,1,commercial,elo,noaccess,RH,42,1882,117,2.0,1.0,5,19761890
adyar,adjland,0,commercial,nosewr,paved,RL,17,641,168,1.0,1.0,2,9947855
chrompet,partial,1,commercial,allpub,noaccess,RL,12,917,139,1.0,1.0,3,11696200
karapakkam,abnormal,1,house,elo,noaccess,RL,32,1485,120,2.0,2.0,4,8020500
chrompet,partial,0,commercial,nosewr,paved,RM,29,1222,98,2.0,1.0,4,13930950
velachery,normalsale,1,house,elo,paved,RM,37,1640,149,2.0,1.0,4,10295890
chrompet,family,1,commercial,nosewr,noaccess,RH,21,1087,141,1.0,1.0,3,12318550
adyar,family,1,other,allpub,gravel,RM,10,786,118,1.0,1.0,2,10371250
velachery,family,1,house,allpub,gravel,RM,48,1542,199,2.0,1.0,4,10453060
t nagar,adjland,0,commercial,nosewr,gravel,RM,21,1832,138,2.0,1.0,5,21686920
kk nagar,family,1,house,allpub,gravel,RL,20,2321,27,4.0,2.0,6,12756200
anna nagar,normalsale,1,other,allpub,paved,RM,15,1522,94,1.0,1.0,4,13991160
chrompet,partial,0,house,allpub,noaccess,RL,40,1199,56,1.0,1.0,3,7759200
chrompet,family,1,house,nosewr,noaccess,RH,33,1053,121,1.0,1.0,3,7819750
chrompet,partial,1,other,allpub,paved,RH,5,1104,124,1.0,1.0,3,9718230
anna nagar,family,0,house,allpub,noaccess,RL,30,1852,55,2.0,1.0,5,11827050
t nagar,family,0,commercial,allpub,noaccess,RL,31,1545,58,1.0,1.0,4,16838870
chrompet,partial,1,house,allpub,paved,RH,36,1131,69,1.0,1.0,3,8602800
anna nagar,adjland,0,other,allpub,gravel,RH,32,1762,113,1.0,1.0,4,13407250
kk nagar,normalsale,1,commercial,nosewr,paved,RM,28,2369,173,4.0,2.0,6,19436960
velachery,partial,1,house,nosewr,paved,C,36,1709,153,2.0,1.0,4,8133770
kk nagar,normalsale,0,commercial,nosewr,paved,RL,19,1634,1,2.0,1.0,4,13712780
adyar,normalsale,0,other,nosewr,noaccess,I,12,1054,59,1.0,1.0,3,7740080
anna nagar,family,1,house,allpub,noaccess,RH,31,1687,72,1.0,1.0,4,11407570
chrompet,abnormal,1,house,nosewr,gravel,RL,7,844,51,1.0,1.0,3,9319450
chrompet,adjland,0,house,nosewr,paved,RL,17,883,196,1.0,1.0,3,7975350
anna nagar,adjland,1,house,nosewr,paved,RM,7,1622,79,1.0,1.0,4,13547790
velachery,abnormal,1,commercial,elo,noaccess,RH,49,1976,147,3.0,2.0,5,15256080
karapakkam,family,1,commercial,nosewr,gravel,C,21,1516,62,2.0,2.0,4,11543750
chrompet,abnormal,1,commercial,nosewr,gravel,RH,6,1001,183,1.0,1.0,3,13088850
chrompet,adjland,1,house,nosewr,paved,RH,4,929,39,1.0,1.0,3,8907400
t nagar,normalsale,1,commercial,elo,paved,RL,43,1881,140,2.0,1.0,5,21077760
kk nagar,abnormal,0,other,allpub,paved,RM,13,1919,96,3.0,2.0,5,11680440
velachery,adjland,0,other,nosewr,paved,A,35,1944,152,3.0,2.0,5,8990700
anna nagar,adjland,0,house,nosewr,noaccess,RL,24,1529,144,1.0,1.0,4,10668930
adyar,abnormal,0,other,elo,gravel,RH,20,1199,190,1.0,1.0,3,9882100
karapakkam,adjland,0,other,nosewr,paved,RM,26,602,0,1.0,1.0,2,6560250
kk nagar,adjland,0,commercial,nosewr,paved,RM,19,1737,173,2.0,1.0,4,15246580
karapakkam,adjland,1,house,allpub,noaccess,A,21,1062,15,1.0,1.0,3,5335750
adyar,adjland,1,other,nosewr,paved,C,39,1261,144,2.0,2.0,4,9653285
chrompet,normalsale,0,other,nosewr,paved,RL,36,1055,132,1.0,1.0,3,8734350
karapakkam,family,1,commercial,elo,gravel,I,23,500,111,1.0,1.0,2,6613250
adyar,normalsale,0,commercial,nosewr,gravel,I,29,790,200,1.0,1.0,2,9758035
adyar,family,0,commercial,allpub,gravel,A,17,1261,172,2.0,2.0,4,12940955
karapakkam,family,1,other,elo,noaccess,I,17,557,105,1.0,1.0,2,4710125
anna nagar,partial,1,other,nosewr,noaccess,RL,40,1997,13,2.0,1.0,5,14072760
anna nagar,family,0,other,elo,gravel,RM,16,1730,138,1.0,1.0,4,13937920
chrompet,abnormal,1,other,elo,gravel,RM,40,1047,105,1.0,1.0,3,10527390
karapakkam,adjland,1,house,nosewr,noaccess,RL,39,578,29,1.0,1.0,2,5754250
chrompet,adjland,1,commercial,allpub,paved,RL,23,1264,173,2.0,1.0,4,15490850
adyar,family,1,house,nosewr,gravel,RM,31,601,196,1.0,1.0,2,8638965
kk nagar,normalsale,0,house,nosewr,gravel,RM,27,2282,72,4.0,2.0,6,12171140
velachery,family,1,commercial,allpub,paved,RM,31,1643,52,2.0,1.0,4,15599020
kk nagar,abnormal,0,commercial,nosewr,gravel,RL,23,1873,130,3.0,2.0,5,15494260
t nagar,family,0,other,elo,noaccess,RL,16,1665,9,1.0,1.0,4,12043670
velachery,abnormal,0,house,nosewr,gravel,C,26,1948,19,3.0,2.0,5,8988520
karapakkam,adjland,1,other,nosewr,paved,A,41,1139,131,1.0,1.0,3,6057375
velachery,adjland,1,other,nosewr,noaccess,I,29,1833,81,3.0,2.0,5,10132530
velachery,partial,1,commercial,allpub,paved,I,19,1726,40,2.0,1.0,4,14471130
adyar,family,1,commercial,elo,noaccess,C,9,1072,192,1.0,1.0,3,11547935
chrompet,normalsale,0,other,nosewr,gravel,RM,37,750,85,1.0,1.0,2,8287250
kk nagar,partial,0,house,nosewr,gravel,RL,11,2178,57,3.0,2.0,5,10917620
chrompet,adjland,1,house,nosewr,gravel,RM,26,818,11,1.0,1.0,3,9701100
kk nagar,normalsale,0,commercial,allpub,gravel,RL,9,1338,116,2.0,1.0,4,12846980
velachery,adjland,1,commercial,allpub,paved,RM,23,1740,83,2.0,1.0,4,16803310
chrompet,abnormal,1,house,nosewr,gravel,RH,39,964,150,1.0,1.0,3,8460450
velachery,adjland,0,house,nosewr,noaccess,RL,49,1584,11,2.0,1.0,4,8183130
velachery,abnormal,1,other,nosewr,noaccess,RL,17,1722,112,2.0,1.0,4,10728940
adyar,partial,1,other,allpub,gravel,RH,11,830,82,1.0,1.0,3,9296665
chrompet,abnormal,1,commercial,elo,noaccess,RL,10,802,182,1.0,1.0,3,10756700
kk nagar,normalsale,1,commercial,allpub,paved,RH,22,1526,64,2.0,1.0,4,13645040
karapakkam,normalsale,0,commercial,elo,paved,I,44,1015,109,1.0,1.0,3,7479000
chrompet,partial,0,house,allpub,noaccess,RM,31,878,65,1.0,1.0,3,7358650
kk nagar,abnormal,0,commercial,nosewr,gravel,RL,21,2064,101,3.0,2.0,5,16497820
t nagar,normalsale,1,commercial,allpub,gravel,RM,7,1925,177,2.0,1.0,5,23667340
adyar,family,1,house,nosewr,noaccess,C,33,1282,183,2.0,2.0,4,7976295
kk nagar,family,1,house,allpub,paved,RM,25,2241,10,4.0,2.0,6,12561300
chrompet,abnormal,0,other,allpub,gravel,RH,16,927,185,1.0,1.0,3,8368990
karapakkam,family,1,commercial,elo,paved,I,24,1265,81,1.0,1.0,3,10027000
t nagar,normalsale,0,house,allpub,noaccess,RH,35,1571,61,1.0,1.0,4,10092000
anna nagar,family,0,house,allpub,paved,RL,44,1586,14,1.0,1.0,4,10882430
adyar,adjland,1,house,nosewr,noaccess,RL,5,997,172,1.0,1.0,3,9429275
t nagar,partial,1,other,nosewr,paved,RL,41,1840,101,2.0,1.0,5,14016870
kk nagar,abnormal,0,other,nosewr,paved,RM,30,2451,57,4.0,2.0,6,12952820
kk nagar,abnormal,1,commercial,allpub,paved,RL,12,2442,64,4.0,2.0,6,19678440
adyar,adjland,0,other,nosewr,paved,C,29,1018,22,1.0,1.0,3,7520335
chrompet,family,1,other,allpub,noaccess,RL,15,1298,157,2.0,1.0,4,10636110
adyar,adjland,1,commercial,elo,gravel,I,29,982,75,1.0,1.0,3,12821435
chrompet,adjland,1,commercial,allpub,noaccess,RM,14,1232,30,2.0,1.0,4,15414900
anna nagar,normalsale,0,commercial,elo,noaccess,RH,15,1918,188,2.0,1.0,5,19609850
velachery,family,1,commercial,nosewr,noaccess,C,33,1971,12,3.0,2.0,5,14616160
velachery,partial,1,other,elo,gravel,A,37,1979,58,3.0,2.0,5,9733590
velachery,family,1,other,elo,noaccess,RM,15,1725,61,2.0,1.0,4,10994850
chrompet,partial,1,other,allpub,noaccess,RH,5,1133,64,1.0,1.0,3,9304960
t nagar,family,1,other,nosewr,gravel,RL,40,1639,140,1.0,1.0,4,13668020
chrompet,family,1,house,elo,paved,RH,40,765,195,1.0,1.0,2,6860600
adyar,partial,0,house,nosewr,noaccess,C,5,987,78,1.0,1.0,3,5950375
karapakkam,abnormal,0,commercial,allpub,noaccess,A,12,1679,93,2.0,2.0,4,10051000
karapakkam,family,1,other,allpub,paved,RL,47,1442,37,2.0,2.0,4,8965750
kk nagar,family,0,house,allpub,paved,RL,25,2470,70,4.0,2.0,6,11632500
velachery,adjland,0,house,allpub,gravel,C,45,1836,86,3.0,2.0,5,8813250
chrompet,partial,0,commercial,elo,paved,RM,16,1277,19,2.0,1.0,4,14407200
anna nagar,normalsale,1,other,allpub,noaccess,RH,34,1700,111,1.0,1.0,4,12556130
karapakkam,adjland,1,other,elo,gravel,C,15,1165,39,1.0,1.0,3,7557625
chrompet,partial,1,commercial,nosewr,paved,RL,16,862,192,1.0,1.0,3,11637200
karapakkam,normalsale,0,house,nosewr,gravel,RH,37,766,183,1.0,1.0,2,5742750
anna nagar,partial,0,other,elo,noaccess,RM,41,1864,198,2.0,1.0,5,12867590
karapakkam,family,0,house,allpub,paved,A,47,792,179,1.0,1.0,2,3250250
t nagar,partial,0,house,nosewr,noaccess,RL,43,1575,172,1.0,1.0,4,10002210
velachery,partial,1,other,nosewr,gravel,C,46,1636,34,2.0,1.0,4,8778570
t nagar,abnormal,0,other,elo,noaccess,RH,18,1510,54,1.0,1.0,4,10754410
chrompet,family,1,house,nosewr,noaccess,RM,33,1082,81,1.0,1.0,3,9079950
chrompet,normalsale,0,commercial,elo,noaccess,RL,27,993,63,1.0,1.0,3,11096050
anna nagar,normalsale,0,other,nosewr,paved,RL,27,1694,86,1.0,1.0,4,12575010
chrompet,normalsale,0,house,nosewr,paved,RL,35,1020,80,1.0,1.0,3,8000250
velachery,normalsale,1,commercial,allpub,noaccess,I,51,1675,43,2.0,1.0,4,13190720
karapakkam,abnormal,1,house,elo,gravel,RH,46,507,49,1.0,1.0,2,5728000
adyar,normalsale,1,house,nosewr,gravel,RM,33,994,14,1.0,1.0,3,10381895
karapakkam,adjland,1,other,nosewr,noaccess,C,25,718,169,1.0,1.0,2,4905000
anna nagar,family,0,commercial,elo,gravel,RL,5,1876,27,2.0,1.0,5,21047400
t nagar,abnormal,0,commercial,elo,paved,RL,36,1585,199,1.0,1.0,4,17556170
chrompet,partial,0,other,allpub,noaccess,RH,25,1228,138,2.0,1.0,4,8442110
t nagar,family,1,commercial,allpub,gravel,RL,43,1579,94,1.0,1.0,4,19124310
anna nagar,family,0,other,elo,paved,RH,18,1957,4,2.0,1.0,5,13371220
velachery,adjland,0,house,nosewr,noaccess,RM,46,1521,168,2.0,1.0,4,8564170
chrompet,partial,0,commercial,nosewr,gravel,RL,38,1257,35,2.0,1.0,4,13773700
velachery,normalsale,1,other,nosewr,noaccess,RM,7,1782,88,2.0,1.0,4,11671340
t nagar,abnormal,1,other,nosewr,gravel,RM,12,1941,71,2.0,1.0,5,16538570
chrompet,adjland,0,house,allpub,gravel,RM,27,985,2,1.0,1.0,3,9573450
chrompet,normalsale,1,commercial,allpub,noaccess,RH,15,1097,31,1.0,1.0,3,12764450
anna nagar,partial,1,house,nosewr,noaccess,RH,5,1677,119,1.0,1.0,4,11370800
karapakkam,family,0,commercial,nosewr,gravel,RL,34,645,38,1.0,1.0,2,7575500
karapakkam,abnormal,1,commercial,allpub,gravel,RL,16,919,146,1.0,1.0,3,10589000
kk nagar,family,0,other,nosewr,paved,RM,22,2471,92,4.0,2.0,6,13259060
adyar,abnormal,0,house,nosewr,paved,I,23,1138,194,1.0,1.0,3,7704145
anna nagar,family,0,other,allpub,gravel,RL,28,1514,151,1.0,1.0,4,12279230
chrompet,abnormal,1,commercial,nosewr,noaccess,RH,27,737,93,1.0,1.0,2,9455450
karapakkam,partial,0,commercial,nosewr,gravel,RM,26,706,109,1.0,1.0,2,8347500
velachery,abnormal,0,other,elo,paved,I,30,1683,26,2.0,1.0,4,8581000
karapakkam,family,0,house,elo,noaccess,RH,10,1430,189,2.0,2.0,4,6530500
karapakkam,abnormal,1,commercial,elo,noaccess,I,19,1464,117,2.0,2.0,4,10630250
anna nagar,abnormal,0,commercial,allpub,paved,RM,26,1939,176,2.0,1.0,5,21804220
adyar,abnormal,0,house,allpub,gravel,I,25,658,35,1.0,1.0,2,6397375
anna nagar,abnormal,1,other,nosewr,gravel,RM,22,1825,77,2.0,1.0,5,15603340
chrompet,normalsale,0,house,allpub,noaccess,RL,8,786,75,1.0,1.0,2,6900800
velachery,partial,0,commercial,allpub,gravel,C,16,1550,81,2.0,1.0,4,12337670
chrompet,family,0,commercial,nosewr,noaccess,RM,22,1142,124,1.0,1.0,3,12807300
karapakkam,adjland,0,house,elo,paved,C,47,698,89,1.0,1.0,2,3717250
karapakkam,adjland,1,other,nosewr,gravel,C,45,1189,102,1.0,1.0,3,7279125
kk nagar,family,1,commercial,nosewr,paved,RH,10,1363,34,2.0,1.0,4,12572000
chrompet,partial,0,house,allpub,gravel,RH,23,1121,158,1.0,1.0,3,8288050
chrompet,partial,1,commercial,allpub,paved,RH,6,1231,48,2.0,1.0,4,14256100
chrompet,normalsale,1,house,allpub,noaccess,RH,14,714,76,1.0,1.0,2,7039700
kk nagar,family,0,other,nosewr,gravel,RM,10,2345,199,4.0,2.0,6,13355100
t nagar,adjland,1,house,nosewr,gravel,RL,36,1715,27,1.0,1.0,4,13554470
chrompet,abnormal,0,other,elo,gravel,RL,19,1292,193,2.0,1.0,4,10309290
karapakkam,partial,0,house,nosewr,noaccess,I,44,1403,74,2.0,2.0,4,5402500
chrompet,adjland,0,other,elo,noaccess,RM,26,1100,79,1.0,1.0,3,9171700
velachery,adjland,1,house,allpub,paved,RL,30,1923,105,3.0,2.0,5,11514650
chrompet,adjland,1,commercial,allpub,noaccess,RH,38,1203,107,2.0,1.0,4,13491500
chrompet,family,0,other,nosewr,gravel,RL,16,1181,12,1.0,1.0,3,9847570
karapakkam,partial,1,other,nosewr,noaccess,C,20,663,41,1.0,1.0,2,4408125
chrompet,family,0,house,nosewr,gravel,RM,24,713,30,1.0,1.0,2,7865000
adyar,partial,1,other,elo,paved,RL,9,809,171,1.0,1.0,3,9043635
t nagar,family,1,other,allpub,paved,RL,20,1915,4,2.0,1.0,5,15090150
velachery,abnormal,0,commercial,allpub,gravel,RH,26,1711,148,2.0,1.0,4,14547070
anna nagar,partial,1,other,allpub,paved,RH,16,1979,171,2.0,1.0,5,14657040
kk nagar,abnormal,1,house,nosewr,paved,RH,13,1303,147,1.0,1.0,3,8496660
velachery,family,0,commercial,nosewr,noaccess,C,45,1511,128,2.0,1.0,4,10391900
kk nagar,abnormal,0,commercial,nosewr,paved,RL,7,2199,64,3.0,2.0,5,17253540
chrompet,normalsale,1,commercial,elo,paved,RH,25,1240,27,2.0,1.0,4,14015750
karapakkam,abnormal,1,house,elo,gravel,RH,28,1631,1,2.0,2.0,4,9009500
velachery,normalsale,1,house,nosewr,noaccess,RL,26,1972,162,3.0,2.0,5,10611070
velachery,abnormal,0,commercial,allpub,paved,RH,7,1812,41,3.0,2.0,5,15074740
karapakkam,family,1,commercial,allpub,noaccess,I,29,1468,82,2.0,2.0,4,10734750
karapakkam,adjland,1,other,elo,paved,RH,32,1308,9,1.0,1.0,3,8242250
kk nagar,normalsale,1,other,allpub,gravel,RH,8,1536,122,2.0,1.0,4,10706080
adyar,partial,0,other,nosewr,paved,C,36,617,89,1.0,1.0,2,4917940
chrompet,abnormal,0,commercial,nosewr,noaccess,RL,29,866,147,1.0,1.0,3,10173350
chrompet,adjland,1,house,elo,noaccess,RM,11,756,35,1.0,1.0,2,8441250
karapakkam,partial,0,house,nosewr,gravel,I,12,1606,40,2.0,2.0,4,7557000
karapakkam,normalsale,1,commercial,nosewr,gravel,RH,39,898,161,1.0,1.0,3,9451250
kk nagar,abnormal,0,commercial,nosewr,paved,RH,24,2202,91,3.0,2.0,5,16152680
anna nagar,normalsale,0,house,nosewr,noaccess,RM,41,1744,66,1.0,1.0,4,11667270
kk nagar,partial,1,commercial,allpub,gravel,RL,29,1777,16,3.0,2.0,5,15794780
chrompet,family,1,house,nosewr,gravel,RM,33,1057,173,1.0,1.0,3,10186950
chrompet,adjland,1,commercial,nosewr,paved,RL,36,849,21,1.0,1.0,3,11650600
karapakkam,abnormal,1,commercial,allpub,gravel,RH,48,572,86,1.0,1.0,2,7586000
chrompet,adjland,1,commercial,elo,noaccess,RH,23,1060,99,1.0,1.0,3,12291450
adyar,abnormal,0,house,allpub,gravel,RM,27,1300,72,2.0,2.0,4,10989305
chrompet,partial,1,commercial,allpub,gravel,RM,16,1216,4,2.0,1.0,4,15727600
kk nagar,normalsale,0,other,nosewr,paved,RH,27,1524,73,2.0,1.0,4,8675820
karapakkam,partial,0,other,allpub,gravel,RM,15,1253,60,1.0,1.0,3,8967625
chrompet,adjland,0,house,allpub,gravel,RL,6,989,1,1.0,1.0,3,9315900
anna nagar,family,1,commercial,nosewr,noaccess,RH,14,1671,20,1.0,1.0,4,18568580
chrompet,adjland,0,commercial,allpub,noaccess,RL,23,787,57,1.0,1.0,2,10029650
anna nagar,partial,0,other,nosewr,paved,RH,40,1813,186,2.0,1.0,5,12195890
kk nagar,partial,1,other,nosewr,paved,RL,17,1747,82,2.0,1.0,4,10784680
chrompet,family,1,commercial,nosewr,gravel,RH,22,1123,104,1.0,1.0,3,13606900
anna nagar,adjland,1,commercial,nosewr,gravel,RL,31,1689,96,1.0,1.0,4,20514620
anna nagar,partial,0,other,allpub,gravel,RL,44,1589,39,1.0,,4,12212350
karapakkam,family,0,house,allpub,noaccess,RL,13,682,31,1.0,1.0,2,5374750
adyar,normalsale,1,commercial,allpub,paved,RH,27,1025,46,1.0,1.0,3,13168605
chrompet,adjland,0,house,elo,noaccess,RH,35,1160,12,1.0,1.0,3,7533450
karapakkam,abnormal,1,other,nosewr,noaccess,I,19,1593,6,2.0,2.0,4,7993125
t nagar,normalsale,0,commercial,elo,gravel,RM,24,1919,185,2.0,1.0,5,22027780
karapakkam,adjland,1,commercial,nosewr,gravel,RM,35,1617,160,2.0,2.0,4,14486250
karapakkam,adjland,0,other,allpub,noaccess,A,48,922,96,1.0,1.0,3,3863750
karapakkam,normalsale,0,house,nosewr,gravel,RL,11,696,84,1.0,1.0,2,6441250
chrompet,family,1,commercial,elo,noaccess,RH,17,969,70,1.0,1.0,3,11248750
chrompet,partial,0,commercial,nosewr,paved,RH,11,1033,86,1.0,1.0,3,11570050
chrompet,abnormal,0,house,nosewr,paved,RH,10,1015,132,1.0,1.0,3,7568500
chrompet,family,1,other,elo,gravel,RM,6,898,87,1.0,1.0,3,10373360
velachery,normalsale,0,house,allpub,gravel,RM,18,1671,182,2.0,1.0,4,10676510
t nagar,normalsale,1,other,nosewr,paved,RL,29,1883,148,2.0,1.0,5,14866620
velachery,partial,1,other,elo,gravel,RM,48,1722,108,2.0,1.0,4,11457330
karapakkam,normalsale,1,other,nosewr,gravel,RH,24,1586,100,2.0,2.0,4,9779750
karapakkam,abnormal,1,house,elo,noaccess,I,29,1523,79,2.0,2.0,4,6916250
kk nagar,partial,1,house,nosewr,gravel,RH,25,1640,157,2.0,1.0,4,9722500
chrompet,abnormal,0,commercial,elo,noaccess,RH,33,1232,74,2.0,1.0,4,12157950
chrompet,normalsale,0,house,nosewr,paved,RH,28,932,139,1.0,1.0,3,7190600
chrompet,normalsale,0,other,nosewr,paved,RM,38,723,12,1.0,1.0,2,7603010
kk nagar,family,1,other,nosewr,gravel,RL,16,2432,10,4.0,2.0,6,13902360
chrompet,abnormal,1,house,elo,gravel,RM,14,936,182,1.0,1.0,3,9912300
karapakkam,normalsale,0,house,nosewr,gravel,A,24,1109,7,1.0,1.0,3,5205500
chrompet,family,0,house,nosewr,gravel,RL,26,1229,146,2.0,1.0,4,9295300
anna nagar,abnormal,1,commercial,elo,paved,RL,42,1608,129,1.0,1.0,4,18588840
karapakkam,family,0,house,allpub,paved,RH,25,626,193,1.0,1.0,2,5072750
karapakkam,normalsale,0,commercial,allpub,paved,I,19,501,168,1.0,1.0,2,5623250
karapakkam,family,0,commercial,nosewr,paved,RH,45,1670,180,2.0,2.0,4,11567750
t nagar,partial,1,commercial,allpub,gravel,RL,19,1701,110,1.0,1.0,4,20460930
chrompet,adjland,1,other,allpub,noaccess,RL,8,1062,105,1.0,1.0,3,9987140
kk nagar,family,0,other,allpub,gravel,RH,30,2348,49,4.0,2.0,6,12021160
karapakkam,family,0,house,elo,noaccess,A,6,1101,99,1.0,1.0,3,3948000
velachery,partial,1,other,nosewr,noaccess,C,19,1850,56,3.0,2.0,5,9150230
velachery,normalsale,1,commercial,nosewr,gravel,RM,33,1973,63,3.0,2.0,5,18179660
adyar,adjland,1,commercial,allpub,gravel,RH,16,1128,28,1.0,1.0,3,15093640
anna nagar,partial,1,house,nosewr,paved,RM,37,1807,83,2.0,1.0,5,13308490
adyar,normalsale,0,house,elo,paved,RM,26,843,68,1.0,1.0,3,8335390
karapakkam,family,1,house,nosewr,gravel,C,34,749,187,1.0,1.0,2,5286000
adyar,normalsale,1,other,nosewr,paved,RL,31,920,136,1.0,1.0,3,9747565
adyar,adjland,1,house,elo,gravel,RM,9,950,16,1.0,1.0,3,10978335
adyar,abnormal,0,commercial,elo,noaccess,C,34,923,9,1.0,1.0,3,8984810
chrompet,normalsale,1,house,elo,gravel,RM,34,913,77,1.0,1.0,3,9464900
adyar,partial,0,other,allpub,gravel,I,37,901,106,1.0,1.0,3,7643255
adyar,abnormal,0,other,nosewr,noaccess,RM,12,1152,75,1.0,1.0,3,9863280
chrompet,abnormal,1,commercial,nosewr,gravel,RH,24,941,21,1.0,1.0,3,12357600
karapakkam,adjland,1,commercial,nosewr,noaccess,A,14,1568,143,2.0,2.0,4,10462500
anna nagar,family,0,other,allpub,noaccess,RH,19,1986,199,2.0,1.0,5,13245710
karapakkam,abnormal,1,commercial,elo,gravel,I,10,1473,185,2.0,2.0,4,12083500
adyar,partial,1,commercial,elo,noaccess,RM,16,888,120,1.0,1.0,3,12334440
karapakkam,normalsale,0,house,allpub,paved,RL,19,888,165,1.0,1.0,2,6428250
velachery,abnormal,1,commercial,nosewr,paved,A,20,1722,186,2.0,1.0,4,13458750
t nagar,partial,1,other,nosewr,noaccess,RH,39,1854,5,2.0,1.0,5,12763900
karapakkam,family,0,commercial,allpub,noaccess,RH,25,1622,19,2.0,2.0,4,11168750
velachery,partial,0,house,allpub,gravel,A,24,1630,78,2.0,1.0,4,7279480
karapakkam,normalsale,1,other,allpub,paved,A,9,527,112,1.0,1.0,2,4555875
karapakkam,abnormal,1,house,nosewr,paved,RH,18,976,90,1.0,1.0,3,6895500
velachery,partial,0,commercial,elo,gravel,RM,28,1800,88,2.0,1.0,4,15728210
